,order_id,order_estimated_delivery_date,order_delivered_customer_date,atraso_medio_dias
0,1b3190b2dfa9d789e1f14c05b647a14a,2018-03-15 00:00:00+00:00,2018-09-19 23:24:07+00:00,188
1,ca07593549f1816d26a572e06dc1eab6,2017-03-22 00:00:00+00:00,2017-09-19 14:36:39+00:00,181
2,47b40429ed8cce3aee9199792275433f,2018-01-19 00:00:00+00:00,2018-07-13 20:51:31+00:00,175
3,2fe324febf907e3ea3f2aa9650869fa5,2017-04-05 00:00:00+00:00,2017-09-19 17:00:07+00:00,167
4,285ab9426d6982034523a855f55a885e,2017-04-06 00:00:00+00:00,2017-09-19 14:00:04+00:00,166
5,440d0d17af552815d15a9e41abe49359,2017-04-07 00:00:00+00:00,2017-09-19 15:12:50+00:00,165
6,c27815f7e3dd0b926b58552628481575,2017-04-10 00:00:00+00:00,2017-09-19 17:14:25+00:00,162
7,0f4519c5f1c541ddec9f21b3bddd533a,2017-04-11 00:00:00+00:00,2017-09-19 14:38:21+00:00,161
8,d24e8541128cea179a11a65176e0a96f,2017-06-26 00:00:00+00:00,2017-12-04 18:36:29+00:00,161
9,2d7561026d542c8dbd8f0daeadf67a43,2017-04-13 00:00:00+00:00,2017-09-19 14:38:18+00:00,159
10,6e82dcfb5eada6283dba34f164e636f5,2017-06-14 00:00:00+00:00,2017-11-16 10:56:45+00:00,155
11,2fb597c2f772eca01b1f5c561bf6cc7b,2017-04-17 00:00:00+00:00,2017-09-19 14:33:17+00:00,155
12,ed8e9faf1b75f43ee027103957135663,2017-12-19 00:00:00+00:00,2018-05-21 18:22:18+00:00,153
13,dfe5f68118c2576143240b8d78e5940a,2017-04-19 00:00:00+00:00,2017-09-19 18:13:19+00:00,153
14,2ba1366baecad3c3536f27546d129017,2017-03-29 00:00:00+00:00,2017-08-28 16:23:46+00:00,152
15,437222e3fd1b07396f1d9ba8c15fba59,2017-04-28 00:00:00+00:00,2017-09-19 16:28:58+00:00,144
16,6e6527028de694ccade37f5a15a6d84a,2017-12-18 00:00:00+00:00,2018-05-10 00:06:20+00:00,143
17,a452fba32eab28a4a62af18eed010c0b,2017-05-04 00:00:00+00:00,2017-09-19 13:47:09+00:00,138
18,3566eabb132f8d64741ae7b921bbd10e,2017-05-05 00:00:00+00:00,2017-09-19 15:07:09+00:00,137
19,525e11b26fdb7f41471d289897d0f6da,2017-05-08 00:00:00+00:00,2017-09-19 14:58:10+00:00,134
20,4fbc8d6f2f4db3e789d5a876fa349b56,2018-03-08 00:00:00+00:00,2018-07-20 23:37:50+00:00,134
21,df6d8b7768a047c2981bae0a24afbb01,2017-05-10 00:00:00+00:00,2017-09-19 15:08:19+00:00,132
22,2fa29503f2ebd9f53deba187160f3202,2017-05-10 00:00:00+00:00,2017-09-19 18:24:46+00:00,132
23,cce224811ba8fea016c049693c3e0402,2018-03-22 00:00:00+00:00,2018-07-26 16:41:56+00:00,126
24,031e7d4e559a1bf08e71a419aa998d0a,2017-05-19 00:00:00+00:00,2017-09-19 16:23:52+00:00,123
25,0b32bf55276b5feb681f6ed6fd670692,2017-06-27 00:00:00+00:00,2017-10-26 20:47:58+00:00,121
26,3c98e4bedff26f850c4f9989b16c8ee7,2017-05-23 00:00:00+00:00,2017-09-19 18:12:28+00:00,119
27,4f39a94d6e474819d898d6df7d394996,2017-05-30 00:00:00+00:00,2017-09-19 13:54:18+00:00,112
28,815b68de0bc7fa6c117e4bcf855734ef,2017-05-31 00:00:00+00:00,2017-09-19 16:49:30+00:00,111
29,17cc6728043d53cc948551dfbf0a338b,2017-12-27 00:00:00+00:00,2018-04-16 23:26:51+00:00,110
30,c5f43352377291361dad9a7366ae1c89,2017-12-18 00:00:00+00:00,2018-04-06 21:52:36+00:00,109
31,b31c7dea63bb08f8cdd1ec32514ccf0b,2017-10-19 00:00:00+00:00,2018-02-05 21:25:43+00:00,109
32,450cb96c63e1e5b49d34f223f67976d2,2018-06-27 00:00:00+00:00,2018-10-11 16:41:14+00:00,106
33,103188b1afa4614c023b86344f79727b,2017-12-11 00:00:00+00:00,2018-03-26 13:09:54+00:00,105
